,Token,Pos
1049,St,PROPN
1050,Indianapolis,PROPN
1051,US,PROPN
1052,935,NUM
1053,W,PROPN
1054,South,PROPN
1055,Boulevard,PROPN
1056,Montgomery,PROPN
1057,US,PROPN
1058,7224,NUM
1059,Eastchase,PROPN
1060,Parkway,PROPN
1061,Montgomery,PROPN
1062,US,PROPN
1063,5660,NUM
1064,Old,PROPN
1065,Shell,PROPN
1066,Road,PROPN
1067,Mobile,PROPN
1068,US,PROPN
1069,390,NUM
1070,Schillinger,PROPN
1071,Rd,PROPN
1072,S,PROPN
1073,Mobile,PROPN
1074,US,PROPN
1075,5019,NUM
1076,Cottage,PROPN
1077,Hill,PROPN
1078,Road,PROPN
1079,Mobile,PROPN
1080,US,PROPN
1081,3944,NUM
1082,Government,PROPN
1083,Boulevard,PROPN
1084,Mobile,PROPN
1085,US,PROPN
1086,5380,NUM
1087,Highway,NOUN
1088,90,NUM
1089,W,PROPN
1090,Mobile,PROPN
1091,US,PROPN
1092,951,NUM
1093,Montlimar,PROPN
1094,Drive,PROPN
1095,Mobile,PROPN
1096,US,PROPN
1097,3121,NUM
1098,Yosemite,PROPN
1099,Blvd,PROPN
1100,Modesto,PROPN
1101,US,PROPN
1102,4615,NUM
1103,Highway,PROPN
1104,280,NUM
1105,Birmingham,PROPN
1106,US,PROPN
1107,4620,NUM
1108,Highway,PROPN
1109,280,NUM
1110,Birmingham,PROPN
1111,US,PROPN
1112,4719,NUM
1113,Highway,NOUN
1114,280,NUM
1115,Birmingham,PROPN
1116,US,PROPN
1117,2,NUM
1118,20th,NOUN
1119,St,PROPN
1120,N,PROPN
1121,Ste,PROPN
1122,120,NUM
1123,Birmingham,PROPN
1124,US,PROPN
1125,1200,NUM
1126,20th,NOUN
1127,St,PROPN
1128,S,PROPN
1129,Ste,PROPN
1130,100,NUM
1131,Birmingham,PROPN
1132,US,PROPN
1133,600,NUM
1134,E,NOUN
1135,Broadway,PROPN
1136,North,PROPN
1137,Little,ADJ
1138,Rock,PROPN
1139,US,PROPN
1140,13869,NUM
1141,W,PROPN
1142,Bell,PROPN
1143,Rd,PROPN
1144,Ste,PROPN
1145,107,PROPN
1146,Surprise,PROPN
1147,US,PROPN
1148,1433,NUM
1149,Mine,PROPN
1150,Street,PROPN
1151,Nashville,PROPN
1152,US,PROPN
1153,10880,NUM
1154,Randolph,PROPN
1155,St,PROPN
1156,Crown,PROPN
1157,Point,PROPN
1158,US,PROPN
1159,2701,NUM
1160,N,PROPN
